object_id,timeperiod,top_reasons,shap_max_rain,shap_mean_rain,shap_sum_rain,shap_mean_ndvi,shap_mean_ndbi,shap_sum_population,shap_sum_aged_population,shap_sum_young_population,shap_mean_sex_ratio,shap_total_hhd,shap_net_sown_area_in_hac,shap_schools_count,shap_health_centres_count,shap_road_length,shap_distance_from_river,shap_drainage_density,shap_elevation_mean,shap_slope_mean,shap_mean_cn,shap_impact
18-301-00111,2026-04-01,elevation_mean contributed -35%; mean_ndbi contributed -11%; drainage_density contributed -9%,0.36258757,-0.19827878,-0.36549208,-0.22162357,-0.67127365,-0.21836394,0.054329645,-0.14899066,-0.22656953,0.004530794,0.039192222,0.01112201,-0.042208277,-0.075379655,-0.04324972,-0.50198287,-2.0502982,-0.16469109,-0.046553627,-0.3910749
18-301-00112,2026-04-01,elevation_mean contributed -34%; mean_ndbi contributed -17%; sum_rain contributed -10%,0.052242544,-0.20930988,-0.5842221,0.115979224,-1.0509117,0.11861449,0.0944679,-0.12350115,-0.23501958,0.015263408,0.009864296,-0.35219452,-0.004934608,-0.006384466,0.10167932,-0.29294503,-2.0551713,-0.049829546,-0.27367127,-0.27776253
18-301-00113,2026-04-01,max_rain contributed -21%; elevation_mean contributed -17%; mean_rain contributed -12%,-1.2911481,-0.72372764,-0.3869081,-0.306479,-0.46412635,-0.318769,-0.19509505,-0.18128377,0.011862179,0.02073669,0.018351061,-0.26753017,-0.3056459,-0.0012475608,-0.10043931,0.046654753,-0.9983104,-0.03965925,-0.07313518,-0.26182234
18-301-00114,2026-04-01,sum_aged_population contributed -23%; max_rain contributed -20%; sum_rain contributed -16%,-0.8158323,0.025110612,-0.63566166,-0.2596185,-0.49638534,0.03416008,-0.9339906,0.012437189,-0.0018227383,0.04773032,-0.011903958,0.09179482,0.031330872,0.023943506,0.10881953,-0.03664504,-0.22058722,0.053873625,-0.03964633,-0.14602228
18-301-00274,2026-04-01,sum_aged_population contributed -24%; sum_rain contributed -17%; schools_count contributed -7%,-0.18024409,-0.52954286,-1.5343,-0.39567947,-0.24678634,-0.37590265,-2.0976064,0.15159483,-0.31285074,-0.2434093,-0.19255729,-0.6364204,-0.4385854,-0.32576585,0.07821144,-0.07815407,-0.42648357,0.0016744989,-0.26381657,-0.2718306
18-302-00115,2026-04-01,elevation_mean contributed -17%; max_rain contributed -17%; schools_count contributed -9%,-0.930032,-0.5013997,0.15430102,0.39690012,-0.002092287,-0.10412874,0.23808722,0.005742246,-0.24160323,0.07470081,0.21569954,-0.5140856,-0.02209473,0.088581406,-0.0689638,0.19076915,-0.93568903,0.15323326,-0.42383453,-0.1620333
18-302-00116,2026-04-01,mean_sex_ratio contributed -14%; max_rain contributed -11%; road_length contributed -10%,-0.5282257,-0.02216353,0.04886423,-0.11052012,-0.41257846,-0.2180405,-0.15442973,-0.3231014,-0.6799143,0.068823606,0.038420577,-0.25943387,-0.29251343,-0.49717823,-0.03162701,-0.22827688,-0.2873209,-0.33295467,-0.11015153,-0.32798555
18-302-00117,2026-04-01,sum_rain contributed -13%; mean_sex_ratio contributed -13%; mean_ndvi contributed -13%,-0.03589877,-0.102128536,-0.5535454,-0.5281384,0.06180097,-0.26224628,0.011553283,-0.3417067,-0.53422534,0.07419217,-0.030494403,0.079734854,-0.15380189,-0.4687394,-0.030124662,-0.2237258,-0.30171597,0.030829908,-0.03864128,-0.280475
18-302-00118,2026-04-01,slope_mean contributed -13%; sum_aged_population contributed -12%; mean_rain contributed +11%,0.31240487,0.4404811,-0.34062424,0.19143061,0.26121697,0.16939503,-0.48127168,0.15106028,-0.23033035,-0.111082494,0.105635755,-0.042827986,0.033919346,-0.12541962,0.10806618,-0.14740509,-0.015151743,-0.53329676,-0.049576577,-0.13288404
18-302-00119,2026-04-01,slope_mean contributed -14%; distance_from_river contributed -11%; net_sown_area_in_hac contributed -10%,-0.18781039,0.30314577,-0.26803344,-0.5059568,-0.43575186,-0.16249962,-0.0073031606,-0.20706862,-0.31586596,-0.39093414,-0.63022524,0.040290136,0.031664576,-0.032418534,-0.6591829,-0.2551811,-0.2097007,-0.8504499,0.10182223,-0.52446747
